time_s,mean_T,mean_C,steps,iterations,cumulative_heat_per_2piL,cumulative_water_per_rhod_2piL,heat_balance_per_2piL,water_balance_per_rhod_2piL
106,27.999999999999986,2.5499999999999989,107,107,2.3652191316614335e-12,-7.3967498792626359e-21,-8.5763737736885268e-12,3.5547786936262842e-20
107,27.999999999999982,2.5499999999999985,108,108,2.3865354137342365e-12,-7.4749095801962468e-21,-9.8565455897529269e-12,3.4319436181817559e-20
108,27.999999999999982,2.5499999999999989,109,109,2.41140440948584e-12,-7.5530692811298577e-21,-1.0000345823222888e-11,3.8229197585337525e-20
109,27.999999999999982,2.5499999999999989,110,110,2.4362734052374435e-12,-7.6312289820634685e-21,-9.7581933836240126e-12,4.0922154553868257e-20
110,27.999999999999982,2.5499999999999989,111,111,2.4593660441496468e-12,-7.7093886829970794e-21,-8.4782255645514295e-12,3.9480640978694971e-20
111,27.999999999999986,2.5499999999999989,112,112,2.48245868306185e-12,-7.7875483839306903e-21,-7.9190127373543687e-12,4.2084780105255725e-20
112,27.999999999999986,2.5499999999999989,113,113,2.5055513219740533e-12,-7.8657080848643012e-21,-7.4460772592977909e-12,4.2046588433208662e-20
113,27.999999999999989,2.5499999999999989,114,114,2.5286439608862565e-12,-7.943867785797912e-21,-7.2326846616112579e-12,4.0862646599748405e-20
114,27.999999999999986,2.5499999999999989,115,115,2.5517365997984598e-12,-8.0220274867315229e-21,-7.2721412673618123e-12,3.6086023058601106e-20
115,27.999999999999982,2.5499999999999989,116,116,2.574829238710663e-12,-8.1001871876651338e-21,-8.7007727810202309e-12,3.8614667019487358e-20
116,27.999999999999986,2.5499999999999989,117,117,2.5979218776228663e-12,-8.1783468885987447e-21,-7.9025127568054067e-12,3.8993919204699331e-20
117,27.999999999999986,2.5499999999999989,118,118,2.6210145165350696e-12,-8.2565065895323555e-21,-7.4885467954459323e-12,4.0994097005863999e-20
118,27.999999999999989,2.5499999999999989,119,119,2.6441071554472728e-12,-8.3346662904659664e-21,-7.0543517130899126e-12,4.0427439174095334e-20
119,27.999999999999989,2.5499999999999989,120,120,2.6671997943594761e-12,-8.4128259913995773e-21,-8.1249603649529156e-12,3.9731995471470152e-20
120,27.999999999999986,2.5499999999999989,121,121,2.6902924332716793e-12,-8.4909856923331881e-21,-8.6103461738133094e-12,3.967604023102903e-20
121,27.999999999999986,2.5499999999999989,122,122,2.7133850721838826e-12,-8.569145393266799e-21,-8.0921247133208212e-12,4.1294301311722644e-20
122,27.999999999999986,2.5499999999999989,123,123,2.7364777110960858e-12,-8.6473050942004099e-21,-8.0324201227369105e-12,4.0963010761174517e-20
123,27.999999999999986,2.5499999999999989,124,124,2.7595703500082891e-12,-8.7254647951340208e-21,-9.257516468769741e-12,4.0685010915808358e-20
124,27.999999999999982,2.5499999999999989,125,125,2.7826629889204924e-12,-8.8036244960676316e-21,-9.6128198480300828e-12,4.1574965692347897e-20
125,27.999999999999982,2.5499999999999989,126,126,2.8057556278326956e-12,-8.8817841970012425e-21,-9.5003655290496029e-12,4.4108050545332635e-20
126,27.999999999999982,2.5499999999999989,127,127,2.8288482667448989e-12,-8.9599438979348534e-21,-9.4938549374551501e-12,4.2368997199559798e-20
127,27.999999999999986,2.5499999999999989,128,128,2.8519409056571021e-12,-9.0381035988684643e-21,-8.9282446137203816e-12,4.3369974278561795e-20
128,27.999999999999986,2.5499999999999989,129,129,2.8750335445693054e-12,-9.1162632998020751e-21,-9.0437603449747934e-12,4.0831560355058857e-20
