time_s,steps,total_picard,max_picard,max_scaled_nonlinear_residual,max_residual_ratio,max_linear_backward_error,cumulative_heat_balance,cumulative_water_balance,min_T,max_T,min_C,max_C
1633,113696,413824,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.7059027110423165e-07,9.1707993908845812e-16,32.690847245323582,35.827697949092126,1.5471639422978254,2.5499977760469812
1634,113728,413952,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.7143585605351442e-07,9.1710684220730322e-16,32.696122920276999,35.832944116086466,1.5469342423009711,2.5499977579859863
1635,113760,414080,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.7227605891912957e-07,9.1764987356154237e-16,32.701399034929594,35.838199148495491,1.5467046503657254,2.5499977398000677
1636,113792,414208,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.7312384134672277e-07,9.1762381209897054e-16,32.706675587505515,35.843462592170269,1.5464751664062428,2.5499977214886087
1637,113824,414336,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.7396816234872537e-07,9.1797083163333182e-16,32.711952576224469,35.848734039645208,1.5462457903348616,2.5499977030508352
1638,113856,414464,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.7481396935649086e-07,9.1827690748513053e-16,32.717229999292705,35.854013123033816,1.5460165220623105,2.5499976844860739
1639,113888,414592,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.7565538972043039e-07,9.1912579124900542e-16,32.722507854895625,35.859299508335781,1.5457873614980728,2.5499976657936338
1640,113920,414720,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.7650032313533116e-07,9.1966350621005011e-16,32.727786141190421,35.864592890815196,1.5455583085504623,2.549997646972773
1641,113952,414848,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.7734840153450489e-07,9.2010456894222831e-16,32.733064856298149,35.8698929912035,1.5453293631268632,2.5499976280227639
1642,113984,414976,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.7819808262388144e-07,9.204154933131875e-16,32.738343998297275,35.875199552549013,1.5451005251338479,2.5499976089429466
1643,114016,415104,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.7904045260320729e-07,9.2066227189559473e-16,32.743623565216325,35.880512337577372,1.5448717944773085,2.5499975897325098
1644,114048,415232,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.7988415443382906e-07,9.2048588803767699e-16,32.748903555027965,35.885831126462271,1.5446431710624997,2.5499975703908215
1645,114080,415360,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.807274963856574e-07,9.2100922453172397e-16,32.75418396564239,35.891155714928452,1.5444146547941962,2.5499975509171304
1646,114112,415488,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.8156874970266508e-07,9.2148721477779565e-16,32.759464794902335,35.896485912625344,1.544186245576713,2.549997531310622
1647,114144,415616,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.8241559297872396e-07,9.2144398135589996e-16,32.764746040576235,35.901821541725084,1.5439579433139594,2.5499975115706666
1648,114176,415744,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.8326013301385154e-07,9.2143850862556973e-16,32.77002770035395,35.907162435705544,1.5437297479095398,2.5499974916965114
1649,114208,415872,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.8410428609462166e-07,9.2149851282419221e-16,32.775309771841577,35.912508438289933,1.5435016592667699,2.5499974716873695
1650,114240,416000,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.8494853205942559e-07,9.2172203181155748e-16,32.780592252556652,35.917859402516427,1.5432736772886877,2.549997451542549
1651,114272,416128,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.8579930588581413e-07,9.2162899984203941e-16,32.785875139924308,35.923215189919823,1.5430458018781601,2.549997431261311
1652,114304,416256,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.8663389830876327e-07,9.2188755706277909e-16,32.791158431272741,35.928575669807223,1.5428180329378154,2.5499974108428241
1653,114336,416384,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.8747919201879111e-07,9.2240062679785822e-16,32.796442123830033,35.933940718615311,1.5425903703701704,2.5499973902864057
1654,114368,416512,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.8832475651221466e-07,9.2297704130046363e-16,32.801726214720368,35.939310219337898,1.5423628140776027,2.5499973695913103
1655,114400,416640,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.8917222889615044e-07,9.2332104958720249e-16,32.80701070096142,35.944684061013113,1.5421353639623983,2.5499973487567726
