time_s,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
42,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000016,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5500000000000007,2.5499999999764262,2.5499998224338341,2.5498583878734005,2.5365159609507826,2.3487979482585115
43,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000029,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5500000000000007,2.549999999961825,2.549999764002266,2.5498367391845997,2.5357801037220518,2.346525995119054
44,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000025,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5500000000000007,2.5499999999394927,2.5499996901629784,2.549812881853291,2.5350332580998742,2.3442827321231099
45,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000016,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5500000000000007,2.5499999999059795,2.5499995978538301,2.5497867125630362,2.5342759850186662,2.3420671836125178
46,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000029,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5500000000000007,2.5499999998565914,2.5499994836107769,2.5497581315602469,2.5335088202949567,2.3398784278827032
47,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000025,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999972,2.5500000000000007,2.5499999997850282,2.5499993435468187,2.5497270428806083,2.5327322755470179,2.3377155930972746
48,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000016,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5500000000000012,2.5499999996829605,2.5499991733331808,2.5496933545308513,2.5319468391308586,2.3355778535919525
49,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000029,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5499999999999896,2.5499999995395277,2.5499989681829272,2.5496569786295402,2.5311529770803167,2.3334644265233258
50,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000025,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5499999999999732,2.5499999993407569,2.5499987228371399,2.549617831510596,2.5303511340415619,2.3313745688240135
51,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000016,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5499999999999399,2.5499999990688811,2.5499984315537683,2.5495758337931047,2.5295417341945075,2.3293075744305951
52,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000029,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5499999999998839,2.5499999987015891,2.5499980880991582,2.5495309104209363,2.5287251821553891,2.3272627717550782
53,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000025,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5499999999997978,2.5499999982111232,2.5499976857423303,2.5494829906754712,2.5279018638562074,2.3252395213742183
54,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000016,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999972,2.5499999999996601,2.5499999975633334,2.5499972172519185,2.5494320081645845,2.5270721473978774,2.3232372139142146
