budget_m,range_m,true_angle_deg,second_error_deg,radius_m,target_distance_to_center_m,reception_radius_m
250.0,999,0.5,-0.5,137.9349066041118,22.900139440023604,1000.0
250.0,999,0.5,0,148.05385984992284,57.481484799862805,1000.0
250.0,999,0.5,0.5,159.35405994844902,96.22758861611213,1000.0
250.0,999,0.5,1,172.0291713278766,138.41461804749568,1000.0
250.0,999,1,-1,138.26447415922533,29.13354828362668,1000.0
250.0,999,1,-0.5,148.4211432495664,61.13897200924911,1000.0
250.0,999,1,0,159.7651139364657,99.13442824349502,1000.0
250.0,999,1,0.5,172.4913288450941,141.03658012647563,1000.0
250.0,999,1,1,186.8368812402468,186.83688124024874,1000.0
250.0,1000,-1,-1,106.05681701051842,106.05681701052067,1000.0
250.0,1000,-1,-0.5,112.7782061042363,78.8851150317964,1000.0
250.0,1000,-1,0,120.1735993015574,50.36666356595149,1000.0
250.0,1000,-1,0.5,128.33723750202844,22.493874268098285,1000.0
250.0,1000,-1,1,137.38057067698435,22.806200978504933,1000.0
250.0,1000,-0.5,-1,112.96875648634045,76.99044780602343,1000.0
250.0,1000,-0.5,-0.5,120.38359662430787,47.7207804435183,1000.0
250.0,1000,-0.5,0,128.56945090869533,17.073536182708818,1000.0
250.0,1000,-0.5,0.5,137.6382846583696,19.0312724802502,1000.0
250.0,1000,-0.5,1,147.72333632443178,54.54597026576131,1000.0
250.0,1000,0,-1,120.61314384627963,46.44406616656537,1000.0
250.0,1000,0,-0.5,128.82330757554251,15.031190293205865,1000.0
250.0,1000,0,0,137.92004863909483,19.08472791480567,1000.0
250.0,1000,0,0.5,148.03730274411595,55.32639172599756,1000.0
250.0,1000,0,1,159.33553113306002,94.47963638796925,1000.0
250.0,1000,0.5,-1,129.09912535673877,17.61108164315378,1000.0
250.0,1000,0.5,-0.5,138.22622346114616,22.96282617852073,1000.0
250.0,1000,0.5,0,148.37851249047537,57.62692565899951,1000.0
250.0,1000,0.5,0.5,159.7173995148647,96.46469195187693,1000.0
250.0,1000,0.5,1,172.43767852537943,138.7551966657001,1000.0
250.0,1000,1,-1,138.5571911351851,29.198731459900777,1000.0
250.0,1000,1,-0.5,148.74740194614958,61.28813884738698,1000.0
250.0,1000,1,0,160.1303062774581,99.37608270305932,1000.0
250.0,1000,1,0.5,172.9019866487308,141.3823955627354,1000.0
250.0,1000,1,1,187.30098096681837,187.30098096681894,1000.0
250.0,1001,-1,-1,106.25051536989014,106.250515369888,1001
250.0,1001,-1,-0.5,112.99099997821183,79.0262158092341,1001
250.0,1001,-1,0,120.40811142181737,50.44979436087231,1001
250.0,1001,-1,0.5,128.59656061357842,22.516239569323737,1001
250.0,1001,-1,1,137.66837313084616,22.854480592866963,1001
250.0,1001,-0.5,-1,113.18239590169841,77.12893319808131,1001
250.0,1001,-0.5,-0.5,120.61906141379917,47.8008448886615,1001
250.0,1001,-0.5,0,128.82985217055358,17.089380785928036,1001
250.0,1001,-0.5,0.5,137.92731311721496,19.08602976725712,1001
250.0,1001,-0.5,1,148.04539796703236,54.68298230891884,1001
250.0,1001,0,-1,120.84960362834707,46.52140239760836,1001
250.0,1001,0,-0.5,129.08483628406793,15.043885695888136,1001
250.0,1001,0,0,138.21036079857558,19.145249643433235,1001
250.0,1001,0,0.5,148.36083360835084,55.46801264744327,1001
250.0,1001,0,1,159.69761269471476,94.71246949881397,1001
250.0,1001,0.5,-1,129.3618317574658,17.626188094115268,1001
250.0,1001,0.5,-0.5,138.51787815873251,23.025648275105006,1001
250.0,1001,0.5,0,148.70358183774286,57.77261564673207,1001
250.0,1001,0.5,0.5,160.0812541053401,96.7021875117319,1001
250.0,1001,0.5,1,172.8468241361543,139.09634599464917,1001
250.0,1001,1,-1,138.85024840666293,29.26404770908045,1001
250.0,1001,1,-0.5,149.0740804901286,61.43755725996116,1001
250.0,1001,1,0,160.4960176671549,99.61813281039646,1001
250.0,1001,1,0.5,173.31328803872302,141.72878655107417,1001
250.0,1001,1,1,187.76588179526047,187.76588179525967,1001
250.0,1250,-1,-1,158.69699970137958,158.69699970138015,1250
250.0,1250,-1,-0.5,171.29058089663474,116.88512018387861,1250
250.0,1250,-1,0,185.48029385307268,72.00492580200898,1250
250.0,1250,-1,0.5,201.5515594307055,26.873163739933037,1250
250.0,1250,-1,1,218.0186221045379,37.68892576138264,1250
