time_s,steps,total_picard,max_picard,max_scaled_nonlinear_residual,max_residual_ratio,max_linear_backward_error,cumulative_heat_balance,cumulative_water_balance,min_T,max_T,min_C,max_C
127,508,2032,4,1.0907677107752041e-15,0.00030725851007752214,1.7522741641188337e-16,1.2451037816876495e-09,5.0378608026929598e-20,28.000357115473463,28.261505369903979,2.2117187294255301,2.5500000000000016
128,512,2048,4,1.0907677107752041e-15,0.00030725851007752214,1.7537643148444061e-16,1.2553529443173547e-09,4.4555256514556283e-20,28.000377422389676,28.26450030940326,2.2104917618019613,2.5500000000000016
129,516,2064,4,1.0907677107752041e-15,0.00030725851007752214,1.7537643148444061e-16,1.2655138442166022e-09,4.6083886286554278e-20,28.000398602420947,28.267492815243848,2.2092703399089273,2.5500000000000016
130,520,2080,4,1.0907677107752041e-15,0.00030725851007752214,1.7537643148444061e-16,1.2758702127571228e-09,4.4403055281846526e-20,28.000420680241263,28.270483733045001,2.2080543988677377,2.5500000000000016
131,524,2096,4,1.0907677107752041e-15,0.00030725851007752214,1.7545589166999716e-16,1.2857928865508614e-09,4.5478390078165462e-20,28.00044368080982,28.273473767448074,2.2068438750366401,2.5500000000000016
132,528,2112,4,1.0907677107752041e-15,0.00030725851007752214,1.7545589166999716e-16,1.2956364291985198e-09,4.6993784960362608e-20,28.000467629366714,28.276463515217593,2.2056387059806495,2.5500000000000016
133,532,2128,4,1.0907677107752041e-15,0.00030725851007752214,1.7545589166999716e-16,1.3060515979259821e-09,4.0991762435677839e-20,28.000492551428547,28.279453488445622,2.2044388304415299,2.5500000000000016
134,536,2144,4,1.0907677107752041e-15,0.00030725851007752214,1.7545589166999716e-16,1.3159644184903771e-09,4.4894400565703024e-20,28.000518472783899,28.282444131365811,2.2032441883082514,2.5500000000000016
135,540,2160,4,1.0907677107752041e-15,0.00030725851007752214,1.7545589166999716e-16,1.3247740104352021e-09,4.5539601443494386e-20,28.000545419488784,28.285435832874448,2.2020547205880652,2.5500000000000016
136,544,2176,4,1.0907677107752041e-15,0.00030725851007752214,1.7545589166999716e-16,1.3341250026379856e-09,6.2354528935472332e-20,28.000573417862022,28.28842893607148,2.2008703693782992,2.5500000000000016
