x,y,worst_lower,worst_upper,normal_lower,no_signal_upper,worst_theta,safe_margin,calls,interval_splits,angle_bound_complete
380,1,557.6154344472014,1500,557.6154344472014,0,6.276371797543455,379.8777084364591,175,0,0
380,2,557.6205163030123,1500,557.6205163030123,0,6.275479303597213,379.8471468203248,91,0,0
380,5,557.6411042066999,1500,557.6411042066999,0,6.272802067959582,379.7457974785535,91,0,0
380,10,540.2833086338406,1500,540.2833086338406,0,6.23343432927471,379.5446834703661,91,0,0
380,15,513.2963344950861,1500,513.2963344950861,0,6.228974461267864,379.3033559988735,63,0,0
380,20,488.8943957337493,1500,488.8943957337493,0,6.224516055677087,379.0218619479152,63,0,0
380,25,466.7245445440485,1500,466.7245445440485,0,6.220059288931858,378.7002559126498,63,0,0
380,30,446.49528802419,1500,446.49528802419,0,6.215604337071576,378.3386001468488,63,0,0
380,40,410.9260353224524,1500,410.9260353224524,0,6.206700579964942,377.4954263652954,63,0,0
380,50,380.6673164461788,1500,380.6673164461788,0,6.197806183304286,376.4929893538718,63,0,0
405,0,545.111050461453,1500,545.111050461453,0,0.006454546402947049,404.8963393463933,175,0,0
405,1,545.1156403571867,1500,545.1156403571867,0,6.275817870378442,404.866173254958,175,0,0
405,2,545.1211410015098,1500,545.1211410015098,0,6.274905021356503,404.8343284856961,175,0,0
405,5,545.1431067563257,1500,545.1431067563257,0,6.272166737730304,404.7287248760479,91,0,0
405,10,530.517384971769,1500,530.517384971769,0,6.232697315803328,404.5191732288362,91,0,0
405,15,503.6683423085163,1500,503.6683423085163,0,6.228135854522971,404.2677286595583,63,0,0
405,20,479.4238263356028,1500,479.4238263356028,0,6.223575957953658,403.9744441881587,63,0,0
405,25,457.4239356866656,1500,457.4239356866656,0,6.219017814809737,403.6393815440298,63,0,0
405,30,437.3721576741611,1500,437.3721576741611,0,6.21446161336903,403.2626111013656,63,0,0
405,40,402.166875035697,1500,402.166875035697,0,6.205355786248517,402.384271091945,63,0,0
